color_variations.attributes.Color,Color,,Цвет,
color_variations.attributes.Images,Images,,Изображения,
color_variations.attributes.Size Variations,Size Variations,,Варианты размера,
colors.attributes.Code,Code,,Артикул,
colors.attributes.ID,ID,,ID,
colors.attributes.Localization,Localization,,Локализация,
colors.attributes.Name,Name,,Имя,
colors.name,colors.name,,,
colors.name.plural,Colors,,Цвета,
en-US,en-US,,en-US,
import_translation_arguments.attributes.Translations File,Translations File,,,
languages.attributes.ID,ID,,ID,
languages.attributes.Name,Name,,Имя,
languages.name,languages.name,,languages.name,
languages.name.plural,Languages,,Языки,
order_items.attributes.Discount Rate,Discount Rate,,,
order_items.attributes.Price,Price,,,
order_items.attributes.Quantity,Quantity,,,
order_items.attributes.Size Variation,Size Variation,,,
order_items.attributes.State,State,,,
orders.actions.Cancel,Cancel,,Отмена,
orders.actions.Ship,Ship,,Доставка,
orders.actions.scopes_Cancelled,Cancelled,,Отменено,
orders.actions.scopes_Checkout,Checkout,,Касса,
orders.actions.scopes_Paid,Paid,,Оплата,
orders.actions.scopes_Paid Cancelled,Paid Cancelled,,Отмена оплаты,
orders.actions.scopes_Processing,Processing,,Обработка,
orders.actions.scopes_Returned,Returned,,Возврат,
orders.actions.scopes_Shipped,Shipped,,Отправленный,
orders.attributes.Billing Address,Billing Address,,,
orders.attributes.Cancelled At,Cancelled At,,,
orders.attributes.Order Items,Order Items,,,
orders.attributes.Payment Amount,Payment Amount,,К оплате,
orders.attributes.Shipped At,Shipped At,,,
orders.attributes.Shipping Address,Shipping Address,,Адрес доставки,
orders.attributes.State,State,,Состояние,
orders.attributes.Tracking Number,Tracking Number,,,
orders.attributes.User,User,,Пользователь,
orders.name,orders.name,,,
orders.name.plural,Orders,,Заказы,
organizations.attributes.Address,Address,,,
organizations.attributes.Bank,Bank,,,
organizations.attributes.City,City,,,
organizations.attributes.Comment,Comment,,,
organizations.attributes.Country,Country,,,
organizations.attributes.Director,Director,,,
organizations.attributes.Edrpou,Edrpou,,,
organizations.attributes.Email,Email,,,
organizations.attributes.ID,ID,,,
organizations.attributes.Ipn,Ipn,,,
organizations.attributes.Is Active,Is Active,,,
organizations.attributes.Location,Location,,,
organizations.attributes.Location.Address,Address,,,
organizations.attributes.Location.City,City,,,
organizations.attributes.Location.Country,Country,,,
organizations.attributes.Location.Region,Region,,,
organizations.attributes.Location.Search on Map,Search on Map,,,
organizations.attributes.Location.Set Address from Marker,Set Address from Marker,,,
organizations.attributes.Location.Zip,Zip,,,
organizations.attributes.Logo,Logo,,,
organizations.attributes.Mfo,Mfo,,,
organizations.attributes.Name,Name,,Название,
organizations.attributes.Region,Region,,,
organizations.attributes.Score,Score,,,
organizations.attributes.Svid Plan Naloga,Svid Plan Naloga,,,
organizations.attributes.Zip,Zip,,,
organizations.name,organizations.name,,,
organizations.name.plural,Organizations,,,
products.actions.Disable,Disable,,Отключить,
products.actions.Enable,Enable,,Активировать,
products.actions.Sync from Name,Sync from Name,,Синхронизация по Имени,
products.actions.scopes_Russian,Russian,,Россия,
products.actions.scopes_USA,USA,,США,
products.actions.scopes_Ukraine,Ukraine,,Украина,
products.attributes.Category,Category,,Категории,
products.attributes.Code,Code,,Артикул,
products.attributes.Collections,Collections,,Коллекция,
products.attributes.Color Variations,Color Variations,,Варианты цвета,
products.attributes.Description,Description,Описание,Описание,
products.attributes.Disabled,Disabled,,Отключенный,
products.attributes.ID,ID,,ID,
products.attributes.Localization,Localization,,Локализация,
products.attributes.Made Country,Made Country,,Страна Производитель,
products.attributes.Name,Name,,Имя,
products.attributes.Name's slug,Name's slug,,,
products.attributes.Picture,Picture,,,
products.attributes.Price,Price,,Цена,
products.attributes.Unit,Unit,,Ед.изм.,
products.name,products.name,,products.name,
products.name.plural,Products,Товары,Товары,
publish.name,Publish,,Публиковать,
publish_events.attributes.Description,Description,,,
publish_events.attributes.Name,Name,,,
publish_events.name,PublishEvents,,,
qor_admin.actions.search_bar_search,Search,,Поиск,
qor_admin.errors.Car Number can not be empty,Car Number can not be empty,,,
qor_admin.errors.Code can not be empty,Code can not be empty,,Артикул не может быть пустым,
qor_admin.errors.Name can not be empty,Name can not be empty,,,
qor_admin.errors.Name's slug can't be blank,Name's slug can't be blank,,Name's slug не может быть пустым,
qor_admin.form.add_resource,Add {{$1}},,Добавьте {{$1}},
qor_admin.form.are_you_sure,Are you sure?,,Вы уверены?,
qor_admin.form.cancel,Cancel,,Отмена,
qor_admin.form.cancel_edit,Cancel Edit,,Отменить Редактирование,
qor_admin.form.crop_the_image,Crop the image,,Обрезать Изображение,
qor_admin.form.delete,Delete,,Удалить,
qor_admin.form.edit,Edit,,"    Редактировать",
qor_admin.form.edit_title,Edit {{$1}},,"    Редактировать {{$1}}",
qor_admin.form.index_title,{{$1}},,{{$1}},
qor_admin.form.new_title,Add {{$1}},,Добавьте {{$1}},
qor_admin.form.ok,OK,,OK,
qor_admin.form.publish_drafts_title,{{$1}},,{{$1}},
qor_admin.form.save_changes,Save Changes,,Сохранить Изменения,
qor_admin.form.select_an_option,Select an Option,,Выберите Вариант,
qor_admin.form.select_some_options,Select some Options,,Выберите несколько Вариантов,
qor_admin.form.submit,Submit,,,
qor_admin.form.successfully_created,{{.Name}} was successfully created,,{{.Name}} был успешно создан,
qor_admin.form.successfully_updated,{{.Name}} was successfully updated,,{{.Name}} был успешно обновлен,
qor_admin.layout.logged_in_as,Logged in as {{.DisplayName}},,Вы вошли как {{.DisplayName}},
qor_admin.layout.logo,"<a href=""{{.Prefix}}""><span class=""visuallyhidden"">QOR</span></a><a href=""/"" target=""_blank"">View Site <i class=""material-icons md-14"" aria-hidden=""true"">open_in_new</i></a>",,,
qor_admin.layout.powered_by,"Powered by <a href=""http://getqor.com"" target=""_blank"">QOR</a>",,,
qor_admin.layout.skip_to_content,Skip to content,,Перейти к содержанию,
qor_admin.layout.title,Admin,,,
qor_admin.menus.Abandoned Orders,Abandoned Orders,,Заброшенные Заказы,
qor_admin.menus.Cars,Cars,,,
qor_admin.menus.Categories,Categories,Категории,Категории,
qor_admin.menus.Collections,Collections,,Коллекция,
qor_admin.menus.Colors,Colors,,Цвета,
qor_admin.menus.Dashboard,Dashboard,,Рабочий стол,
qor_admin.menus.Languages,Languages,,Языки,
qor_admin.menus.Newsletters,Newsletters,,Рассылка,
qor_admin.menus.Order Management,Order Management,,Управление заказами,
qor_admin.menus.Orders,Orders,,Заказы,
qor_admin.menus.Organizations,Organizations,,,
qor_admin.menus.Product Management,Product Management,Управление товарами,Управление товарами,
qor_admin.menus.Products,Products,Товары,Товары,
qor_admin.menus.Publish,Publish,,Опубликовать,
qor_admin.menus.Rfids,Rfids,,,
qor_admin.menus.Roles,Roles,,Роли,
qor_admin.menus.Setting,Setting,,Настройка,
qor_admin.menus.Site Management,Site Management,,Справочники,
qor_admin.menus.Sizes,Sizes,,Размеры,
qor_admin.menus.Store Management,Store Management,,Управление магазином,
qor_admin.menus.Stores,Stores,,Магазины,
qor_admin.menus.Translations,Translations,,Переводы,
qor_admin.menus.Units,Units,,Единицы измерения,
qor_admin.menus.Users,Users,,Пользователи,
qor_admin.menus.Workers,Workers,,Задание,
qor_admin.pagination.next,Next Page,,Следующая Страница,
qor_admin.pagination.previous,Previous Page,,,
qor_admin.pagination.show_all,Show All,,Показать Все,
qor_admin.publish.actions,Actions,,,
qor_admin.publish.are_you_sure,Are you sure?,,,
qor_admin.publish.changes,Changes,,,
qor_admin.publish.check_all,Check All,,,
qor_admin.publish.close,Close,,,
qor_admin.publish.column,Column,,,
qor_admin.publish.discard,Discard,,,
qor_admin.publish.draft,Draft,,,
qor_admin.publish.live,Live,,,
qor_admin.publish.publish,Publish,,,
qor_admin.publish.view_changes,View Changes,,,
qor_i18n.actions.export_translations,Export Translations,,Экспорт переводов,
qor_i18n.actions.import_translations,Import Translations,,Импорт переводов,
qor_publish.events.Changed sort order for Product,Changed sort order for Product,,,
qor_publish.events.Changed sort order for Units,Changed sort order for Units,,,
qor_publish.events.changed_sorting,changed_sorting,,,
qor_worker.filter.all,All Jobs,,Все Задачи,
qor_worker.filter.done,Done,,Выполненные,
qor_worker.filter.errors,Errors,,Ошибки,
qor_worker.filter.running,Running,,Выполняются,
qor_worker.job_groups.Export/Import Translations From CSV file,Export/Import Translations From CSV file,,Экспорт/Импорт переводов в CSV файл,
qor_worker.jobs.Export Translations,Export Translations,,Экспорт переводов,
qor_worker.jobs.Import Translations,Import Translations,,Импорт переводов,
qor_worker.jobs.Job Name,Job Name,,Имя Задания,
qor_worker.jobs.Process Log,Process Log,,Лог Выполнения,
qor_worker.jobs.Status,Status,,Статус,
qor_worker.jobs.rerun_process,Rerun Process,,Перевыполнить Задание,
qor_worker.jobs.run_job,run process,,запустить задание,
resource_successfully_created,{{.Name}} was successfully created,,,
roles.attributes.ID,ID,,ID,
roles.attributes.Name,Name,,Имя,
roles.name,roles.name,,,
roles.name.plural,Roles,,Роли,
ru-RU,ru-RU,,,
setting.attributes.COD Fee,COD Fee,,,
setting.attributes.Company Address,Company Address,,Адрес компании,
setting.attributes.Company Address.Address,Address,,Адрес,
setting.attributes.Company Address.City,City,,Город,
setting.attributes.Company Address.Country,Country,,Страна,
setting.attributes.Company Address.Region,Region,,Регион,
setting.attributes.Company Address.Search on Map,Search on Map,,Поиск на Карте,
setting.attributes.Company Address.Set Address from Marker,Set Address from Marker,,,
setting.attributes.Company Address.Zip,Zip,,Почтовый индекс,
setting.attributes.Gift Wrapping Fee,Gift Wrapping Fee,,,
setting.attributes.Shipping Fee,Shipping Fee,,Стоимость Доставки,
setting.attributes.Tax Rate,Tax Rate,,Ставка Налогообложения,
setting.name,Setting,,Настройки,
size_variations.attributes.Available Quantity,Available Quantity,,Доступное количество,
size_variations.attributes.Size,Size,,Размер,
sizes.attributes.Code,Code,,Артикул,
sizes.attributes.ID,ID,,ID,
sizes.attributes.Localization,Localization,,Локализация,
sizes.attributes.Name,Name,,Имя,
sizes.name,sizes.name,,,
sizes.name.plural,Sizes,,Размеры,
stores.attributes.Address,Address,,Адрес,
stores.attributes.City,City,,Город,
stores.attributes.Country,Country,,Страна,
stores.attributes.Email,Email,,,
stores.attributes.ID,ID,,,
stores.attributes.Location,Location,,,
stores.attributes.Location.Address,Address,,,
stores.attributes.Location.City,City,,,
stores.attributes.Location.Country,Country,,,
stores.attributes.Location.Region,Region,,,
stores.attributes.Location.Search on Map,Search on Map,,,
stores.attributes.Location.Set Address from Marker,Set Address from Marker,,,
stores.attributes.Location.Zip,Zip,,,
stores.attributes.Name,Name,,Имя,
stores.attributes.Organization,Organization,,,
stores.attributes.Phone,Phone,,Телефон,
stores.attributes.Region,Region,,Регион,
stores.attributes.User,User,,,
stores.attributes.Zip,Zip,,Почтовый индекс,
stores.name,stores.name,,,
stores.name.plural,Stores,,Магазины,
tracking_number_arguments.attributes.Tracking Number,Tracking Number,,,
translations.name.plural,Translations,,Переводы,
uk-UA,uk-UA,,,
units.attributes.Code,Code,,Артикул,
units.attributes.ID,ID,,,
units.attributes.Localization,Localization,,Локализация,
units.attributes.Name,Name,,Имя,
units.attributes.Position,Position,,Позиция,
units.name,units.name,,,
units.name.plural,Units,,Единицы измерения,
users.actions.scopes_Disable,Disable,,,
users.actions.scopes_Disabled,Disabled,,,
users.actions.scopes_Is Active,Is Active,,,
users.actions.scopes_Is not Active,Is not Active,,,
users.actions.scopes_aaaaa,aaaaa,,,
users.attributes.Addresses,Addresses,,Адреса,
users.attributes.Avatar,Avatar,,Аватар,
users.attributes.Comment,Comment,,Комментарий,
users.attributes.Email,Email,,,
users.attributes.First Name,First Name,,Имя,
users.attributes.Gender,Gender,,Пол,
users.attributes.ID,ID,,,
users.attributes.Is Active,Is Active,,Активен,
users.attributes.Languages,Languages,,Языки,
users.attributes.Last Name,Last Name,,Фамилия,
users.attributes.Name,Name,,Имя,
users.attributes.Organization,Organization,,,
users.attributes.Password,Password,,Пароль,
users.attributes.Role,Role,,Роль,
users.name,users.name,,,
users.name.plural,Users,,Пользователи,
workers.attributes.ID,ID,,ID,
workers.attributes.Name,Name,,Название,
workers.attributes.Status,Status,,Статус,
workers.name.plural,Workers,,Задание,
zh-CN,zh-CN,,,
