languages.name,languages.name,,languages.name,
languages.name.plural,Languages,,Языки,
log_logins.actions.Delete,Delete,,Удалить,
log_logins.actions.Edit,Edit,,Редактировать,
log_logins.attributes.Cliet Ip,Cliet Ip,,Ip адрес,
log_logins.attributes.Device,Device,,Устройство,
log_logins.attributes.ID,ID,,ID,
log_logins.attributes.In Out,In Out,,Вход/Выход,
log_logins.attributes.Logined At,Logined At,,Время,
log_logins.attributes.User,User,,Пользователь,
log_logins.name.plural,Log Logins,,Лог Входов,
order_items.attributes.Discount Rate,Discount Rate,,Процент Скидок,
order_items.attributes.Price,Price,,Цена,
order_items.attributes.Quantity,Quantity,,Количество,
order_items.attributes.Size Variation,Size Variation,,Варианты размера,
order_items.attributes.State,State,,Состояние,
orders.actions.Cancel,Cancel,,Отмена,
orders.actions.Delete,Delete,,Удалить,
orders.actions.Edit,Edit,,Редактировать,
orders.actions.Ship,Ship,,Доставка,
orders.actions.scopes_Cancelled,Cancelled,,Отменено,
orders.actions.scopes_Checkout,Checkout,,Касса,
orders.actions.scopes_Paid,Paid,,Оплата,
orders.actions.scopes_Paid Cancelled,Paid Cancelled,,Отмена оплаты,
orders.actions.scopes_Processing,Processing,,Обработка,
orders.actions.scopes_Returned,Returned,,Возврат,
orders.actions.scopes_Shipped,Shipped,,Отправленный,
orders.attributes.Abandoned Reason,Abandoned Reason,,Заброшенные покупки,
orders.attributes.Billing Address,Billing Address,,Платежный Адрес,
orders.attributes.Cancelled At,Cancelled At,,Время завершения,
orders.attributes.Order Items,Order Items,,Позиции заказа,
orders.attributes.Payment Amount,Payment Amount,,К оплате,
orders.attributes.Shipped At,Shipped At,,Время отправки,
orders.attributes.Shipping Address,Shipping Address,,Адрес доставки,
orders.attributes.State,State,,Состояние,
orders.attributes.Tracking Number,Tracking Number,,Транспортная Накладная,
orders.attributes.User,User,,Пользователь,
orders.name,orders.name,,orders.name,
orders.name.plural,Orders,,Заказы,
orders.scopes.Order Status,Order Status,,Статус Заказа,
orders.scopes.Order Status.Cancelled,Cancelled,,Отменено,
orders.scopes.Order Status.Checkout,Checkout,,Корзина,
orders.scopes.Order Status.Paid,Paid,,Оплаченный,
orders.scopes.Order Status.Paid Cancelled,Paid Cancelled,,Отмененная оплата,
orders.scopes.Order Status.Processing,Processing,,Обработка,
orders.scopes.Order Status.Returned,Returned,,Возврат,
orders.scopes.Order Status.Shipped,Shipped,,Отправка,
organizations.attributes.Address,Address,,Адрес,
organizations.attributes.Bank,Bank,,Банк,
organizations.attributes.City,City,,Город,
organizations.attributes.Comment,Comment,,Комментарий,
organizations.attributes.Country,Country,,Страна,
organizations.attributes.Director,Director,,Директор,
organizations.attributes.Edrpou,Edrpou,,ЕГРПОУ,
organizations.attributes.Email,Email,,Email,
organizations.attributes.ID,ID,,ID,
organizations.attributes.Ipn,Ipn,,ИНН,
organizations.attributes.Is Active,Is Active,,Активен,
organizations.attributes.Location,Location,,Место нахождения,
organizations.attributes.Location.Address,Address,,Адрес,
organizations.attributes.Location.City,City,,Город,
organizations.attributes.Location.Country,Country,,Страна,
organizations.attributes.Location.Region,Region,,Область,
organizations.attributes.Location.Search on Map,Search on Map,,Найти на карте,
organizations.attributes.Location.Set Address from Marker,Set Address from Marker,,Указать маршрут,
organizations.attributes.Location.Zip,Zip,,Почтовый адрес,
organizations.attributes.Logo,Logo,,Логотип,
organizations.attributes.Mfo,Mfo,,МФО,
organizations.attributes.Name,Name,,Название,
organizations.attributes.Region,Region,,Область,
organizations.attributes.Score,Score,,Счет,
organizations.attributes.Svid Plan Naloga,Svid Plan Naloga,,Свидетельство плательщика налога,
organizations.attributes.Zip,Zip,,Почтовый адрес,
organizations.name,organizations.name,,organizations.name,
organizations.name.plural,Organizations,,Организации,
products.actions.Delete,Delete,," Удалить",
products.actions.Disable,Disable,,Отключить,
products.actions.Edit,Edit,,"
Редактировать",
products.actions.Enable,Enable,,Активировать,
products.actions.Sync from Name,Sync from Name,,Синхронизация по Имени,
products.actions.View  On  Site,View  On  Site,,,
products.actions.scopes_Russian,Russian,,Россия,
products.actions.scopes_USA,USA,,США,
products.actions.scopes_Ukraine,Ukraine,,Украина,
products.attributes.Category,Category,,Категории,
products.attributes.Code,Code,,Артикул,
products.attributes.Collections,Collections,,Коллекция,
products.attributes.Color Variations,Color Variations,,Варианты цвета,
products.attributes.Description,Description,Описание,Описание,
products.attributes.Disabled,Disabled,,Отключенный,
products.attributes.Enabled,Enabled,,"
Включено",
products.attributes.ID,ID,,ID,
products.attributes.Image,Image,,Изображение,
products.attributes.Localization,Localization,,Локализация,
products.attributes.Made Country,Made Country,,Страна Производитель,
products.attributes.Name,Name,,Имя,
products.attributes.Name Small,Name Small,,Краткое название,
products.attributes.Name's slug,Name's slug,,Name's slug,
products.attributes.Picture,Picture,,"
Картина",
products.attributes.Price,Price,,Цена,
products.attributes.Unit,Unit,,Ед.изм.,
products.name,products.name,,products.name,
products.name.plural,Products,Товары,Товары,
products.scopes.Made Country,Made Country,,Страна  производитель,
products.scopes.Made Country.Russian,Russian,,Россия,
products.scopes.Made Country.USA,USA,,США,
products.scopes.Made Country.Ukraine,Ukraine,,Украина,
publish.name,Publish,,Публиковать,
publish_events.attributes.Description,Description,,Описание,
publish_events.attributes.Name,Name,,Имя,
publish_events.name,PublishEvents,,Опубликовать События,
qor_activities.attributes.Content,Content,,Содержание,
qor_activities.attributes.Note,Note,,Заметка,
qor_activity.form.add_activity,Add Activity,,Добавить Активность,
qor_activity.form.new_activity,New Activity,,Новая Активация,
qor_activity.form.note,Note:,,Заметка:,
qor_activity.form.tab_title,Activity,,Активность,
qor_admin.actions.executed_failed,Action {{.Name}}: Failed to execute,,"
Действие {{.Name}}: Не удалось выполнить",
qor_admin.actions.executed_successfully,Action {{.Name}}: Executed successfully,,Действие {{.Name}}: Выполнено успешно,
qor_admin.actions.please_select_an_item,Please select an item,,"Пожалуйста, выберите позицию",
qor_admin.actions.search_bar_search,Search,,Поиск,
qor_admin.errors.Car Number can not be empty,Car Number can not be empty,,Поле номер автомобиля не может быть пустым,
qor_admin.errors.Code can not be empty,Code can not be empty,,Поле Артикул не может быть пустым,
qor_admin.errors.Name can not be empty,Name can not be empty,,Поле Название не может быть пустым,
qor_admin.errors.Name's slug can't be blank,Name's slug can't be blank,,Name's slug не может быть пустым,
qor_admin.form.add_resource,Add {{$1}},,Добавьте {{$1}},
qor_admin.form.are_you_sure,Are you sure?,,Вы уверены?,
qor_admin.form.cancel,Cancel,,Отмена,
qor_admin.form.cancel_edit,Cancel Edit,,Отменить Редактирование,
qor_admin.form.crop_the_image,Crop the image,,Обрезать Изображение,
qor_admin.form.delete,Delete,,Удалить,
qor_admin.form.edit,Edit,,"    Редактировать",
qor_admin.form.edit_title,Edit {{$1}},,"    Редактировать {{$1}}",
qor_admin.form.index_title,{{$1}},,{{$1}},
qor_admin.form.new_title,Add {{$1}},,Добавьте {{$1}},
qor_admin.form.ok,OK,,OK,
qor_admin.form.publish_drafts_title,{{$1}},,{{$1}},
qor_admin.form.save_changes,Save Changes,,Сохранить Изменения,
qor_admin.form.select_an_option,Select an Option,,Выберите Вариант,
qor_admin.form.select_some_options,Select some Options,,Выберите несколько Вариантов,
qor_admin.form.show_title,{{$1}} Details,,{{$1}} Детали,
qor_admin.form.submit,Submit,,Отправить,
qor_admin.form.successfully_created,{{.Name}} was successfully created,,{{.Name}} был успешно создан,
qor_admin.form.successfully_updated,{{.Name}} was successfully updated,,{{.Name}} был успешно обновлен,
qor_admin.layout.logged_in_as,Logged in as {{.DisplayName}},,Вы вошли как {{.DisplayName}},
qor_admin.layout.logo,"<a href=""{{.Prefix}}""><span class=""visuallyhidden"">QOR</span></a><a href=""/"" target=""_blank"">View Site <i class=""material-icons md-14"" aria-hidden=""true"">open_in_new</i></a>",,"<a href=""{{.Prefix}}""><span class=""visuallyhidden"">QOR</span></a><a href=""/"" target=""_blank"">View Site <i class=""material-icons md-14"" aria-hidden=""true"">open_in_new</i></a>",
qor_admin.layout.powered_by,"Powered by <a href=""http://getqor.com"" target=""_blank"">QOR</a>",,"Powered by <a href=""http://getqor.com"" target=""_blank"">QOR</a>",
qor_admin.layout.skip_to_content,Skip to content,,Перейти к содержанию,
qor_admin.layout.title,Admin,,Admin,
qor_admin.menus.Abandoned Orders,Abandoned Orders,,Заброшенные Заказы,
qor_admin.menus.Cars,Cars,,Автомобили,
qor_admin.menus.Categories,Categories,Категории,Категории,
qor_admin.menus.Collections,Collections,,Коллекция,
qor_admin.menus.Colors,Colors,,Цвета,
qor_admin.menus.Dashboard,Dashboard,,Рабочий стол,
qor_admin.menus.Devices,Devices,,Устройства,
qor_admin.menus.Languages,Languages,,Языки,
qor_admin.menus.Log Logins,Log Logins,,Лог входа,
qor_admin.menus.Newsletters,Newsletters,,Рассылка,
qor_admin.menus.Order Management,Order Management,,Управление заказами,
qor_admin.menus.Orders,Orders,,Заказы,
qor_admin.menus.Organizations,Organizations,,Организации,
qor_admin.menus.Product Management,Product Management,Управление товарами,Управление товарами,
qor_admin.menus.Products,Products,Товары,Товары,
qor_admin.menus.Publish,Publish,,Опубликовать,
qor_admin.menus.Rfids,Rfids,,Карты доступа,
qor_admin.menus.Roles,Roles,,Роли,
qor_admin.menus.SEO Setting,SEO Setting,," Настройка  SEO",
qor_admin.menus.Security Management,Security Management,,Управление безопасностью,
qor_admin.menus.Setting,Setting,,Настройка,
qor_admin.menus.Site Management,Site Management,,Справочники,
qor_admin.menus.Sizes,Sizes,,Размеры,
qor_admin.menus.Store Management,Store Management,,Управление магазином,
qor_admin.menus.Stores,Stores,,Магазины,
qor_admin.menus.Thermal Printer Devices,Thermal Printer Devices,,Термо принтеры,
qor_admin.menus.Translations,Translations,,Переводы,
qor_admin.menus.Units,Units,,Единицы измерения,
qor_admin.menus.Users,Users,,Пользователи,
qor_admin.menus.Workers,Workers,,Задание,
qor_admin.pagination.next,Next Page,,Следующая Страница,
qor_admin.pagination.previous,Previous Page,,Предыдущая страница,
qor_admin.pagination.show_all,Show All,,Показать Все,
qor_admin.publish.actions,Actions,,Действия,
qor_admin.publish.are_you_sure,Are you sure?,,Вы уверенны?,
qor_admin.publish.changes,Changes,,"
Изменения",
qor_admin.publish.check_all,Check All,,Отметить все,
qor_admin.publish.close,Close,,Закрыть,
qor_admin.publish.column,Column,,Колонка,
qor_admin.publish.discard,Discard,,Отменить,
qor_admin.publish.draft,Draft,,Черновик,
qor_admin.publish.live,Live,,Существовать,
qor_admin.publish.publish,Publish,,"
Публиковать",
qor_admin.publish.view_changes,View Changes,,Просмотр изменений,
qor_admin.search_center.hint,Search…,,Поиск…,
qor_admin.search_center.title,Search Center,,Центр поиска,
qor_i18n.actions.export_translations,Export Translations,,Экспорт переводов,
qor_i18n.actions.import_translations,Import Translations,,Импорт переводов,
qor_publish.events.Changed sort order for Product,Changed sort order for Product,,Изменить порядок сортировки продукта,
qor_publish.events.Changed sort order for Units,Changed sort order for Units,,Изменить порядок сортировки для единиц,
qor_publish.events.changed_sorting,changed_sorting,,changed_sorting,
qor_worker.filter.all,All Jobs,,Все Задачи,
qor_worker.filter.done,Done,,Выполненные,
qor_worker.filter.errors,Errors,,Ошибки,
qor_worker.filter.running,Running,,Выполняются,
qor_worker.filter.scheduled,Scheduled,,,
qor_worker.form.successfully_created,{{.Name}} was successfully created,,{{.Name}} был успешно создан,
qor_worker.job_groups.Export/Import Translations From CSV file,Export/Import Translations From CSV file,,Экспорт/Импорт переводов в CSV файл,
qor_worker.jobs.Export Translations,Export Translations,,Экспорт переводов,
qor_worker.jobs.Import Translations,Import Translations,,Импорт переводов,
qor_worker.jobs.Job Name,Job Name,,Имя Задания,
qor_worker.jobs.Process Log,Process Log,,Лог Выполнения,
qor_worker.jobs.Status,Status,,Статус,
qor_worker.jobs.abort process,Abort Process,,Прервать процесс,
qor_worker.jobs.rerun_process,Rerun Process,,Перевыполнить Задание,
qor_worker.jobs.run_job,run process,,запустить задание,
resource_successfully_created,{{.Name}} was successfully created,,{{.Name}} был успешно создан,
roles.attributes.ID,ID,,ID,
roles.attributes.Name,Name,,Имя,
roles.name,roles.name,,roles.name,
roles.name.plural,Roles,,Роли,
ru-RU,ru-RU,,ru-RU,
setting.attributes.COD Fee,COD Fee,,COD Fee,
setting.attributes.Company Address,Company Address,,Адрес компании,
setting.attributes.Company Address.Address,Address,,Адрес,
setting.attributes.Company Address.City,City,,Город,
setting.attributes.Company Address.Country,Country,,Страна,
setting.attributes.Company Address.Region,Region,,Регион,
setting.attributes.Company Address.Search on Map,Search on Map,,Найти на карте,
setting.attributes.Company Address.Set Address from Marker,Set Address from Marker,,Указать маршрут,
setting.attributes.Company Address.Zip,Zip,,Почтовый индекс,
setting.attributes.Gift Wrapping Fee,Gift Wrapping Fee,,Бонусная карта,
setting.attributes.Shipping Fee,Shipping Fee,,Стоимость Доставки,
setting.attributes.Tax Rate,Tax Rate,,Ставка Налогообложения,
setting.name,Setting,,Настройки,
size_variations.attributes.Available Quantity,Available Quantity,,Доступное количество,
size_variations.attributes.Size,Size,,Размер,
sizes.actions.Delete,Delete,,Удалить,
sizes.actions.Edit,Edit,,Редактировать,
sizes.attributes.Code,Code,,Артикул,
sizes.attributes.ID,ID,,ID,
sizes.attributes.Localization,Localization,,Локализация,
sizes.attributes.Name,Name,,Имя,
sizes.attributes.Position,Position,,Позиция,
sizes.name,sizes.name,,sizes.name,
sizes.name.plural,Sizes,,Размеры,
stores.attributes.Address,Address,,Адрес,
stores.attributes.City,City,,Город,
stores.attributes.Country,Country,,Страна,
stores.attributes.Email,Email,,Email,
stores.attributes.ID,ID,,ID,
stores.attributes.Location,Location,,Место нахождения,
stores.attributes.Location.Address,Address,,Адрес,
stores.attributes.Location.City,City,,Город,
stores.attributes.Location.Country,Country,,Страна,
stores.attributes.Location.Region,Region,,Область,
stores.attributes.Location.Search on Map,Search on Map,,Найти на карте,
stores.attributes.Location.Set Address from Marker,Set Address from Marker,,Указать маршрут,
stores.attributes.Location.Zip,Zip,,Почтовый адрес,
stores.attributes.Name,Name,,Имя,
stores.attributes.Organization,Organization,,Организация,
stores.attributes.Phone,Phone,,Телефон,
stores.attributes.Region,Region,,Регион,
stores.attributes.User,User,,Пользователь,
stores.attributes.Zip,Zip,,Почтовый индекс,
stores.name,stores.name,,stores.name,
stores.name.plural,Stores,,Магазины,
tracking_number_arguments.attributes.Tracking Number,Tracking Number,,Транспортная Накладная,
translations.name.plural,Translations,,Переводы,
uk-UA,uk-UA,,uk-UA,
units.attributes.Code,Code,,Артикул,
units.attributes.ID,ID,,ID,
units.attributes.Localization,Localization,,Локализация,
units.attributes.Name,Name,,Имя,
units.attributes.Position,Position,,Позиция,
units.name,units.name,,units.name,
units.name.plural,Units,,Единицы измерения,
users.actions.scopes_Disable,Disable,,Отключить,
users.actions.scopes_Disabled,Disabled,,Отключенный,
users.actions.scopes_Is Active,Is Active,,Активен,
users.actions.scopes_Is not Active,Is not Active,,Не активен,
users.actions.scopes_aaaaa,aaaaa,,aaaaa,
users.attributes.Addresses,Addresses,,Адреса,
users.attributes.Avatar,Avatar,,Аватар,
users.attributes.Comment,Comment,,Комментарий,
users.attributes.Email,Email,,Email,
users.attributes.First Name,First Name,,Имя,
users.attributes.Gender,Gender,,Пол,
users.attributes.ID,ID,,ID,
users.attributes.Is Active,Is Active,,Активен,
users.attributes.Languages,Languages,,Языки,
users.attributes.Last Name,Last Name,,Фамилия,
users.attributes.Name,Name,,Имя,
users.attributes.Organization,Organization,,Организация,
users.attributes.Password,Password,,Пароль,
users.attributes.Role,Role,,Роль,
users.name,users.name,,users.name,
users.name.plural,Users,,Пользователи,
workers.attributes.ID,ID,,ID,
workers.attributes.Name,Name,,Название,
workers.attributes.Status,Status,,Статус,
workers.name.plural,Workers,,Задание,
zh-CN,zh-CN,,zh-CN,
